ID,name
101,J.K. Rowling
102,George Orwell
103,J.R.R. Tolkien
104,F. Scott Fitzgerald
105,Jane Austen
106,Isaac Asimov
107,Agatha Christie
108,Stephen King
109,Ernest Hemingway
110,Leo Tolstoy
111,Arthur Conan Doyle
112,Haruki Murakami
113,Walter Isaacson
114,Yuval Noah Harari
115,Mark Twain
116,Charles Dickens
117,Virginia Woolf
118,James Joyce
119,William Shakespeare
120,Gabriel García Márquez
121,Toni Morrison
122,Franz Kafka
123,Fyodor Dostoevsky
124,Herman Melville
125,John Steinbeck
126,Mary Shelley
127,Oscar Wilde
128,Ray Bradbury
129,Aldous Huxley
130,George R.R. Martin
131,Neil Gaiman
132,Terry Pratchett
133,Margaret Atwood
134,Dan Brown
135,Rick Riordan
136,J.R. Ward
137,Brandon Sanderson
138,Patrick Rothfuss
139,Gillian Flynn
140,Suzanne Collins
