ID;serialNumber;model;status;price;purchaseDate;vendor;hardwareType_code;currentEmployee_ID;createdAt;createdBy;modifiedAt;modifiedBy
a2000000-0000-0000-0000-000000000001;SN-LT-00001;Lenovo ThinkPad X1 Carbon;Assigned;1450.00;2023-01-15;Lenovo;LAPTOP_DEV;e1000000-0000-0000-0000-000000000001;2024-01-01T08:00:00.000Z;admin;2024-01-01T08:00:00.000Z;admin
a2000000-0000-0000-0000-000000000002;SN-LT-00002;Lenovo ThinkPad X1 Carbon;Assigned;1450.00;2023-01-15;Lenovo;LAPTOP_DEV;e1000000-0000-0000-0000-000000000002;2024-01-01T08:00:00.000Z;admin;2024-01-01T08:00:00.000Z;admin
a2000000-0000-0000-0000-000000000003;SN-LT-00003;Dell XPS 13;Assigned;1200.00;2023-03-10;Dell;LAPTOP_EXEC;e1000000-0000-0000-0000-000000000003;2024-01-01T08:00:00.000Z;admin;2024-01-01T08:00:00.000Z;admin
a2000000-0000-0000-0000-000000000004;SN-LT-00004;HP EliteBook 840;Assigned;1100.00;2023-03-10;HP;LAPTOP_STD;e1000000-0000-0000-0000-000000000004;2024-01-01T08:00:00.000Z;admin;2024-01-01T08:00:00.000Z;admin
a2000000-0000-0000-0000-000000000005;SN-LT-00005;HP EliteBook 840;Assigned;1100.00;2023-04-20;HP;LAPTOP_STD;e1000000-0000-0000-0000-000000000005;2024-01-01T08:00:00.000Z;admin;2024-01-01T08:00:00.000Z;admin
a2000000-0000-0000-0000-000000000006;SN-LT-00006;MacBook Pro 14;Assigned;2100.00;2023-06-01;Apple;LAPTOP_EXEC;e1000000-0000-0000-0000-000000000008;2024-01-01T08:00:00.000Z;admin;2024-01-01T08:00:00.000Z;admin
a2000000-0000-0000-0000-000000000007;SN-LT-00007;Lenovo ThinkPad T14;Available;980.00;2023-07-12;Lenovo;LAPTOP_STD;;2024-01-01T08:00:00.000Z;admin;2024-01-01T08:00:00.000Z;admin
a2000000-0000-0000-0000-000000000008;SN-LT-00008;Lenovo ThinkPad T14;Available;980.00;2023-07-12;Lenovo;LAPTOP_STD;;2024-01-01T08:00:00.000Z;admin;2024-01-01T08:00:00.000Z;admin
a2000000-0000-0000-0000-000000000009;SN-LT-00009;Dell Latitude 5540;In_Repair;1050.00;2022-11-05;Dell;LAPTOP_STD;;2024-01-01T08:00:00.000Z;admin;2024-01-01T08:00:00.000Z;admin
a2000000-0000-0000-0000-000000000010;SN-LT-00010;Lenovo ThinkPad X1 Carbon;Assigned;1500.00;2024-01-08;Lenovo;LAPTOP_DEV;e1000000-0000-0000-0000-000000000010;2024-01-01T08:00:00.000Z;admin;2024-01-01T08:00:00.000Z;admin
a2000000-0000-0000-0000-000000000011;SN-MN-00001;Dell UltraSharp U2722D;Assigned;620.00;2023-01-15;Dell;MONITOR_4K;e1000000-0000-0000-0000-000000000001;2024-01-01T08:00:00.000Z;admin;2024-01-01T08:00:00.000Z;admin
a2000000-0000-0000-0000-000000000012;SN-MN-00002;Dell UltraSharp U2722D;Assigned;620.00;2023-01-15;Dell;MONITOR_4K;e1000000-0000-0000-0000-000000000002;2024-01-01T08:00:00.000Z;admin;2024-01-01T08:00:00.000Z;admin
a2000000-0000-0000-0000-000000000013;SN-MN-00003;LG 27MK600M;Available;280.00;2023-05-20;LG;MONITOR_FHD;;2024-01-01T08:00:00.000Z;admin;2024-01-01T08:00:00.000Z;admin
a2000000-0000-0000-0000-000000000014;SN-MN-00004;LG 27MK600M;Available;280.00;2023-05-20;LG;MONITOR_FHD;;2024-01-01T08:00:00.000Z;admin;2024-01-01T08:00:00.000Z;admin
a2000000-0000-0000-0000-000000000015;SN-KB-00001;Logitech MX Keys;Assigned;120.00;2023-01-15;Logitech;KEYBOARD;e1000000-0000-0000-0000-000000000001;2024-01-01T08:00:00.000Z;admin;2024-01-01T08:00:00.000Z;admin
a2000000-0000-0000-0000-000000000016;SN-KB-00002;Logitech MX Keys;Assigned;120.00;2023-01-15;Logitech;KEYBOARD;e1000000-0000-0000-0000-000000000002;2024-01-01T08:00:00.000Z;admin;2024-01-01T08:00:00.000Z;admin
a2000000-0000-0000-0000-000000000017;SN-KB-00003;Logitech MX Keys;Available;120.00;2023-09-01;Logitech;KEYBOARD;;2024-01-01T08:00:00.000Z;admin;2024-01-01T08:00:00.000Z;admin
a2000000-0000-0000-0000-000000000018;SN-MS-00001;Logitech MX Master 3;Assigned;100.00;2023-01-15;Logitech;MOUSE;e1000000-0000-0000-0000-000000000001;2024-01-01T08:00:00.000Z;admin;2024-01-01T08:00:00.000Z;admin
a2000000-0000-0000-0000-000000000019;SN-MS-00002;Logitech MX Master 3;Available;100.00;2023-09-01;Logitech;MOUSE;;2024-01-01T08:00:00.000Z;admin;2024-01-01T08:00:00.000Z;admin
a2000000-0000-0000-0000-000000000020;SN-HS-00001;Jabra Evolve2 55;Assigned;350.00;2023-02-14;Jabra;HEADSET;e1000000-0000-0000-0000-000000000003;2024-01-01T08:00:00.000Z;admin;2024-01-01T08:00:00.000Z;admin
a2000000-0000-0000-0000-000000000021;SN-HS-00002;Jabra Evolve2 55;Scrapped;350.00;2021-06-10;Jabra;HEADSET;;2024-01-01T08:00:00.000Z;admin;2024-01-01T08:00:00.000Z;admin
a2000000-0000-0000-0000-000000000022;SN-SW-00001;Cisco SG350-28;Available;800.00;2022-08-01;Cisco;SWITCH;;2024-01-01T08:00:00.000Z;admin;2024-01-01T08:00:00.000Z;admin
a2000000-0000-0000-0000-000000000023;SN-RT-00001;Fortinet FortiGate 60F;Available;950.00;2022-08-01;Fortinet;ROUTER;;2024-01-01T08:00:00.000Z;admin;2024-01-01T08:00:00.000Z;admin
